"","B14.5new.bam","B15.5new.bam","B17.5new.bam","B20new.bam","B34new.bam","C14.5new.bam","C15.5new.bam","C17.5new.bam","C20new.bam","C34new.bam"
"MSTRG.1",0,0,0,1,0,0,0,0,1,0
"MSTRG.2",12,10,28,15,15,11,13,18,18,6
"MSTRG.3",0,0,0,0,0,0,0,0,0,0
"MSTRG.4",0,0,0,0,0,0,0,0,0,0
"MSTRG.5",0,0,0,0,0,0,0,0,0,0
"MSTRG.6",0,0,0,0,0,0,0,0,0,0
"MSTRG.7",0,0,0,0,0,0,0,0,0,0
"MSTRG.8",2,3,23,13,39,0,4,3,5,6
"MSTRG.9",21,13,43,26,25,23,24,37,20,19
"MSTRG.10",14,20,25,23,17,13,15,7,16,5
"MSTRG.11",13,17,11,14,9,13,12,9,14,17
"MSTRG.12",9,10,10,6,1,7,11,6,1,10
"MSTRG.13",241,237,209,194,169,215,198,213,219,197
"MSTRG.14",392,316,265,310,263,285,355,400,296,289
"MSTRG.15",477,410,512,573,509,497,524,316,729,444
"MSTRG.16",6,4,12,6,15,2,9,4,3,2
"MSTRG.17",2,4,9,10,3,5,9,13,8,3
"MSTRG.18",11,25,14,33,38,8,12,68,55,12
"MSTRG.19",2842,2312,2249,1970,1458,2427,1941,1389,1746,1797
"MSTRG.20",108,116,101,100,73,91,104,40,67,134
"MSTRG.21",0,0,0,0,0,0,0,0,0,0
"MSTRG.22",0,0,0,0,1,2,0,0,0,1
"MSTRG.23",0,0,0,0,0,0,0,0,0,0
"MSTRG.24",486,435,430,265,181,290,306,187,288,126
"MSTRG.25",2,3,2,2,1,2,0,0,2,1
"MSTRG.26",35,35,23,25,21,26,10,17,10,23
"MSTRG.27",381,423,519,436,609,299,370,457,380,270
"MSTRG.28",9,7,11,8,3,13,9,13,5,1
"MSTRG.29",1,0,0,0,0,0,0,2,0,0
"MSTRG.30",0,0,0,0,0,0,0,0,0,0
"MSTRG.31",8,3,8,5,2,16,7,3,4,2
"MSTRG.32",14,26,10,22,9,3,23,14,7,17
"MSTRG.33",2102,2005,1751,1743,998,2609,1883,1025,1426,1255
"MSTRG.34",1,3,1,1,1,1,0,0,0,0
"MSTRG.35",209,199,283,243,165,197,172,248,199,79
"MSTRG.36",0,0,6,5,5,9,2,5,6,22
"MSTRG.37",1308,1414,1523,1725,1774,1382,1483,1084,1434,2258
"MSTRG.38",0,0,0,0,0,0,0,0,0,0
"MSTRG.39",166,173,205,192,206,160,211,171,212,244
"MSTRG.40",448,478,426,491,753,437,469,676,630,794
"MSTRG.41",18,12,16,27,45,15,22,17,35,66
"MSTRG.42",55,93,91,88,132,69,86,74,138,94
"MSTRG.43",2,6,11,17,35,1,1,21,19,8
"MSTRG.44",13,15,14,11,23,6,16,8,23,32
"MSTRG.45",3,7,5,7,7,5,3,10,5,8
"MSTRG.46",482,612,574,483,143,441,430,522,365,240
"MSTRG.47",0,0,0,0,0,0,0,0,0,0
"MSTRG.48",1161,1102,955,1068,1235,1042,1092,1373,1266,2020
"MSTRG.49",1458,2712,2503,2936,3942,1753,2805,4600,3288,4218
"MSTRG.50",7,14,10,15,24,19,22,9,9,21
"MSTRG.51",72,112,102,93,56,112,118,67,94,104
"MSTRG.52",36,42,29,37,30,124,56,23,40,48
"MSTRG.53",0,0,0,0,0,1,0,2,0,27
"MSTRG.54",165,214,178,176,146,136,237,268,179,267
"MSTRG.55",638,1084,1332,1929,2913,1037,1628,2767,2827,4318
"MSTRG.56",324,330,339,290,379,380,351,482,339,627
"MSTRG.57",348,310,225,224,269,168,259,255,292,256
"MSTRG.58",13,13,23,19,13,24,18,27,16,49
"MSTRG.59",3,2,3,1,0,1,5,3,0,2
"MSTRG.60",1131,1117,1117,1079,907,952,1009,1085,974,988
"MSTRG.61",598,685,727,645,563,634,743,781,664,725
"MSTRG.62",67,45,73,90,120,65,104,116,141,341
"MSTRG.63",6,2,2,8,13,4,4,4,9,46
"MSTRG.64",2025,1829,1706,1655,1846,1946,1805,2302,1789,1478
"MSTRG.65",0,1,0,2,0,0,0,0,0,0
"MSTRG.66",266,216,190,174,111,183,210,240,223,181
"MSTRG.67",1,5,4,4,6,0,2,7,8,7
"MSTRG.68",103,104,119,113,104,80,124,109,156,108
"MSTRG.69",0,0,0,0,0,0,0,0,0,0
"MSTRG.70",0,0,2,1,1,2,0,2,2,0
"MSTRG.71",649,1070,1283,1431,1605,1410,1815,2524,2594,1925
"MSTRG.72",12,20,24,18,30,21,33,23,23,31
"MSTRG.73",5,1,10,8,16,7,8,4,13,9
"MSTRG.74",1407,1671,1779,2042,2205,1525,1817,2482,2420,3128
"MSTRG.75",2394,2279,2365,2058,1797,2231,1937,1620,1996,1902
"MSTRG.76",35,19,23,17,13,18,22,12,14,26
"MSTRG.77",3,0,3,1,4,3,5,2,1,22
"MSTRG.78",15,22,35,31,171,18,54,37,78,518
